MESSAGE,RESPONSE
"Am i liable for a job's non commencement penalty after i backed out from the offer 1 day after signing? The offer letter's approval is subjected to a security clearance, which i have not submitted documents for the clearance.","This will depend on the exact phrasing and terms used in the contract you have signed. If the monetary compensation stipulated in the contract is an extravagant amount, there is a possibility that the non-commencement clause will be held to be a penalty clause and made unenforceable. The Employment Act does not apply to the contract as you are not in an employer-employee relationship since you have not started work. Any claim against you from the workplace you have turned down will have to be a civil claim."
I have told my agency on the 4th day of training under probation period that i want to resign. She insists me to help her for a couple of days. And i helped her and after that she send me a letter for breaching contract. I have to pay a sum of money. Is i,"This would depend on the terms of the contract. If the contract stipulates that a sum is payable on your resignation, then you would have to fulfill your obligation to pay."
Need help urgently.My boss is threatening that if i were to leave my current job then 50k singapore dollars will have to be payable before the employment contract mature. We signed a contract and i did not receive a,"If the clause is stated in the contract which you agreed to, you have to perform your obligations under the contract. If $50,000 is the amount of money equivalent to the salary that you would have earned during the required notice period under the contract, then you may indeed have to pay such an amount if you choose to terminate the contract without waiting for the notice period to end. This is because you would need to pay the other party compensation in lieu of notice."
I have signed an employment contract that states that I have to stay in employment of the company for a certain period. However it is not written in the contract that there will be a penalty for breaking that. Can I resign before the stated period withou,"You may resign at anytime. However, you need to give advanced notice of your intention to terminate the employment to your employer. The notice period should be according to you employment contract, or verbal agreement. If it is not mentioned in your employment contract, you can refer to the Ministry of Manpower's website for more information on how much advanced notice should be given (http://www.mom.gov.sg/employment-practices/termination-of-employment/termination-with-notice). Alternatively, you may also terminate the contract without notice. You would then have to pay compensation in lieu of notice, or a ""notice pay"" (which is the money equivalent to the salary that you would have earned during the required notice period).If your contract does not require you to pay for monetary compensation (in addition to the notice pay) for terminating a contract before the specified period, then it is unlikely that you would have to pay money for resigning before the stated period apart from the notice pay if you terminate without notice."
"Hi, a recruitment agency informd me a day before starting new job that my role was made redundent. What recourse do i have? The role made me relocate back to Singapore","Your agreement with the recruitment agency will be governed by the contract that you have with them when they offer you the job. To understand your rights (and recourse), you will need to review the contract and demonstrate that the contract was breached. If so, you can then claim the damages 9e.g. cost of relocation) from the recruitment agency."
I signed for a domestic helper withiut being informed that she had seen a doctor 2 days prior for cough. 3rd day with me she was down with Severe Pneumonia which require Medical attention amounting to 26000K. I am seeking advice as i am at my wit ends.,A possible remedy could be to vitiate the contract on the grounds of misrepresentation by the agency for failing to disclose the domestic helper's physical condition at the time of contract.
I am resigning from my company. They paid portion of my course fee. I wanted to pay back the same amount. However they asked me to pay the full course fee instead as bond penalty. Is it legal? I was not told of this penalty verbally before hand and there,This is a matter of contract and the company is only entitled to do so should there be a clause of the contract which empowers them to do so.
My notice period is 2 months and i would like to shorten my notice period to one month. can my Company file any legal action against me if i offered to compensate my Company the one month if i were to shorten my notice period,"Unlikely so, as it is legal to terminate your contract without waiting for the expiry of the notice period as long as you compensate your company the amount of salary at the gross rate of pay which you would have accrued during the period of notice."
"Is non-hiring clause in Non-compete still valid, if they delayed salary by 30 days?",Yes because the contract is not void.
"If my monthly gross pay is made up of basic pay + daily regular OT, and I resign without serving the full notice period of 12 weeks, is my ex-employer entitled to claim against me for the 12 weeks of gross pay or only 12 weeks of basic pay?",Your employer is entitled to claim the 12 weeks of gross pay.
"I have signed a 2 years bond employment contract but left in 2 weeks and by contract it states that one completed month I? m required to compensate $9k for  ?staff costs and training fees? , however I have only served 2 weeks without completing my training,","It is a liquidated damage. The clause that stipulates that you are required to pay 9K is enforceable only if the amount is the actual amount of loss or reasonable estimation. If the 9K of ""staff costs and training fees"" are far below actual loss or loss that is reasonably estimated, the clause is considered penalty clause, and thus unenforceable."
"Employer gives a list of offences and fine amount for employees to sign. It ranges from being late to work to several minor things, thus it is really easy to get fined and add up way over the salary deduction limit according to MOM. Is it legal for the c","Penalty clause is not permitted to be included in contracts under Singapore common law. If the amount is not an actual damage to the company or reasonable estimate of the damage, the clause is not enforceable."
"Without China working permit & signed an employment contract with China, then decided not to go, is this contract still effective? Do I need to pay penalty?",It is likely that the contract still retains its effectiveness from before you decided not to go. Whether you need to pay a penalty depends on the terms of the contract you signed.
"I am terminated by my company. on the last day of employment, I have destroyed some of the material I have prepared in advance for future works. What trouble would I get into? What is the punishment I would get if reported to the police?","This would depend on the terms of your employment contract. If the contract states that the material prepared by you is the company's property, your act would be akin to destroying company property. If the material you prepared is IP-related, the general rule is that such material is also owned by the company if you were hired to produce such material and it was done in the course of your employment. The relevant punishment should be laid out in your contract as well"
My brother is a hairstylist and his previous employment contract stated that he cannot work with a competitor within 10km of the ex-company. Is this legally binding?,"Whether a restrictive covenant is binding is dependent on a large number of factors, with some of the most important being the length of time, geographical area, and scope of activities limited. At the end of the day, the restrictive covenant may be enforceable where it is legitimately for the protection of an interest, and where it is reasonable given the circumstances. Where the restrictive covenant does not have a set time limit, the court may either strike down the covenant as unreasonable, or potentially impose a time limitation that is deemed to be reasonable in the circumstances."
terminating my bond contract but contract states that compensation is full course fees + 4 months salary (with or without notice). company only paid 30% of course fees as it was subsidized by WDA. what is the reasonable amount that i should repay for term,"The amount that you will be required to repay is based on your contract - hence, unless the contractual term is viewed as a penalty, you will be required to repay the full amount. If the clause is unenforceable, then they can only claim their loss."
I am an unmarried woman who had an affair with another woman who was my subordinate married with kids. Her husband found and complained. I was terminated for misconduct though it was mutual. Is that justified? Also no action was taken against her.,This depends on the terms of your contract and your company's policies. It is common for many companies to terminate their employees if they have an affair with their subordinates and this is viewed as an abuse of power. It is also common for no action to be taken against the subordinate as they are not abusing their power.
"I signed an employment acceptance letter with a job agency. The words ""bleaching this term"" are used instead of ""breaching this term"". Is this employment acceptance letter still enforceable? Am I liable to pay any fee to the agency ?",Yes.
"On turning 62 years in Jun 2016, my employer did not discuss with me on rehiring. Two months later they terminated me citing restructuring and did not pay me compensation.",We suggest that you make a representation to the Minister. This must be done no later than one month after the last date of your employment. Please see http://www.mom.gov.sg/employment-practices/retirement for more details.
"in my employment contract, it states (exact wording) must provide 2 months advance notice and penalty charges of one month's salary are the penalty charges enforceable?",The penalty charges are only unenforceable if it stipulates an excessive amount of money to be paid upon the breach of the employment contract. This then depends on what work you are doing to asses the proportionality. It does not seem that the clause is a penalty clause in this case however.
"I'm still working as a Production Manager with 5.6k monthly salary. Salaries are never on time and now nearly 16k outstanding, all our employees facing this because of company financial problem. Can I go to MOM or what are other options do I have?","You will not be considered an employee for the purpose of the Employment Act. However, you can still go to the MOM for assistance, although if all the employees are facing the same problem, then you should go as a group. Alternatively, you can make a civil claim against the employer."
Can my employer state on my employment contract that i should bear both employer and employee CPF? Is this enforceable?,"While this depends on how the clause is drafted, it is generally not enforceable as the employer's portion is to be borne by the employer."
My employee has lost an equipment that cost $4500. He is a low salaried worker and does not want to pay for the loss. Is there any recourse for the employer? By the way he has tendered his resignation.,"The main recourse is to take legal action against the employee. However, if he is low salaried, then there may not be even effective recourse since you may not be able to recover any damages from him."
Contract states that Approved Overtime work is paid for any work done after 44working hours/week.If the contract start on a friday and i worked more than 9 hours/day[in excess of the normal hours of work] until sunday(But less than 44 hours).Am i entitled,"if the contract does not provide for the prorating of the 44 working hours/week limit, then you will likely not be entitled to overtime pay as you did not work more than 44 working hours in that week."
"At my previous employment, i was forced to clear all of my annual leaves (21 days) before being asked to leave the company. Upon resignation, the company demanded to recover money for the excess leave taken. I feel that it is very unfair and I wonder","Assuming that you only took the number of days of annual leave which is your contractual entitlement, it is likely that the company would be unable to recover money for excess leave taken. As such, you should refuse to pay the company or should demand your full salary, if they have deducted the amount from your salary."
"If contract stated cannot tender resignation till 30Jun and i resign with 2 months notice, last day 31 Jul, do i break bond n needs to compensate?","It depends on your specific employment contract. Most importantly, you should check if your contract provides for any remedies or damages if you were to tender resignation before 30th June. If not, then tendering resignation may mean the act of giving notice, and therefore you may be obligated under the contract to only give your 2 months' notice on 30th June, with your last day being 31st August. If this is the case, then you may have to work until 31st August or pay your employer an additional 1 month's salary in lieu of notice to terminate the contract on 31st July before the notice period has ended, as you have described."
Is it possible to terminate a 3yr employment contract without paying the stipulated and unreasonably inflated 3 month worth of salary as penalty fee? Is it legal to impose such large fines?,"It is possible to avoid paying if this term in the contract is deemed to be a penalty clause. Any sum payable in a contract that is a genuine pre-estimate of loss is not a penalty and enforceable. However, the payment stipulated in your contract (3 months of salary) does not seem to be a penalty clause in that it is likely considered as a genuine pre-estimate of loss for the employer, particularly since the employment contract is fairly long (3 years). As such, if you do wish to terminate your employment contract, you will likely have to pay the agreed sum."
"Am i liable for a job's non commencement penalty after i backed out from the offer 1 day after signing? The offer letter's approval is subjected to a security clearance, which i have not submitted documents for the clearance.","This will depend on the exact phrasing and terms used in the contract you have signed. If the monetary compensation stipulated in the contract is an extravagant amount, there is a possibility that the non-commencement clause will be held to be a penalty clause and made unenforceable. The Employment Act does not apply to the contract as you are not in an employer-employee relationship since you have not started work. Any claim against you from the workplace you have turned down will have to be a civil claim."
I have told my agency on the 4th day of training under probation period that i want to resign. She insists me to help her for a couple of days. And i helped her and after that she send me a letter for breaching contract. I have to pay a sum of money. Is i,"This would depend on the terms of the contract. If the contract stipulates that a sum is payable on your resignation, then you would have to fulfill your obligation to pay."
Need help urgently.My boss is threatening that if i were to leave my current job then 50k singapore dollars will have to be payable before the employment contract mature. We signed a contract and i did not receive a,"If the clause is stated in the contract which you agreed to, you have to perform your obligations under the contract. If $50,000 is the amount of money equivalent to the salary that you would have earned during the required notice period under the contract, then you may indeed have to pay such an amount if you choose to terminate the contract without waiting for the notice period to end. This is because you would need to pay the other party compensation in lieu of notice."
I have signed an employment contract that states that I have to stay in employment of the company for a certain period. However it is not written in the contract that there will be a penalty for breaking that. Can I resign before the stated period withou,"You may resign at anytime. However, you need to give advanced notice of your intention to terminate the employment to your employer. The notice period should be according to you employment contract, or verbal agreement. If it is not mentioned in your employment contract, you can refer to the Ministry of Manpower's website for more information on how much advanced notice should be given (http://www.mom.gov.sg/employment-practices/termination-of-employment/termination-with-notice). Alternatively, you may also terminate the contract without notice. You would then have to pay compensation in lieu of notice, or a ""notice pay"" (which is the money equivalent to the salary that you would have earned during the required notice period).If your contract does not require you to pay for monetary compensation (in addition to the notice pay) for terminating a contract before the specified period, then it is unlikely that you would have to pay money for resigning before the stated period apart from the notice pay if you terminate without notice."
"Hi, a recruitment agency informd me a day before starting new job that my role was made redundent. What recourse do i have? The role made me relocate back to Singapore","Your agreement with the recruitment agency will be governed by the contract that you have with them when they offer you the job. To understand your rights (and recourse), you will need to review the contract and demonstrate that the contract was breached. If so, you can then claim the damages 9e.g. cost of relocation) from the recruitment agency."
Can my employer dismiss my employment if I refuse to work overtime when asked?,"This depends on the circumstances of your employment (such as your position, etc), the nature of your employment contract, etc. If your case falls under the Employment Act, you may have a case for unfair dismissal depending on your situation. Please see http://www.mom.gov.sg/employment-practices/disputes-and-claims/Pages/lodge-claim-complaint.aspx"
I am demoted in my firm without formal notice. Does it constitute a dismissal and do I have the right to seek redress?,A demotion may not constitute a dismissal if you are still employed.
"Signed a job's offer, but after gg thru their others docs, I can't agree, wish to withdraw. Job Agt ask me to compensate","A contract, once signed, is legally binding. Employment contracts may legitimately ask for compensation if the applicant does not follow through. In such cases, it is likely that you will have to compensate, although this ultimately depends on the specific contents of your contract."
"In the context of signing a scholarship deed, is a letter of undertaking legally binding? Before I signed the contract, I signed a letter of undertaking and thus decided against signing the contract. The company now wants me to compensate them for ad","This depends on the nature of the 'letter of undertaking'. Some documents signed before the formal contract are expressly 'subject to contract'. In such cases, those documents do not bind both parties formally. It therefore depends on what your 'letter of undertaking' is."
Is employer allow to auto-offset employee's salary for the subsidised course fee for a 12 month training program?,"If you (assuming you are the employee) agreed to attend a paid training programme, you have a contractual obligation to pay the training fees. The terms of the training programme agreement may provide for contractual set-off, where your employer may pay your salary net of the your training fees. Even if the contract does not explicitly provide for set-off, based on the doctrine of equitable set-off, your employer? s obligation to pay your salary may be set-off against your training fees. Where equitable set-off is concerned, both debts must be due and payable. This means that your employer can only set-off your salary when it is time for you to pay the training fees. An additional requirement is that both debts must be mutual. This requirement is fulfilled in your situation."
"Hi, I have not been paid 5 months of salary from my employer. I am a cook working in a restaurant in Sg, and I am supposed to be paid 2.5k a month. My employer has not been paying for CPF as well and he has been summoned to court for this issue. However,","Since your claim amount is below the limit for the Tripartite Alliance for Dispute Management (""TADM""), you can file a salary claim with the TADM. You will likely have to go through mediation with your employer before your claim can be heard at the Employment Claims Tribunals.For more information:??http://www.mom.gov.sg/employment-practices/managing-employment-disputes"
"I was terminated due to a change in organization goals and focus, since they now require someone with different skillset to do the job. When I rejected the 'Termination', HR initiated that I resign. What do I do?","Employers have the discretion to dismiss any employee, provided that the terms of termination stipulated in the employment contract are adhered to. An aggrieved employee may wish to appeal to the Ministry of Manpower for unfair dismissal."
Can employer refuse paying overtime allowance or collect back overtime allowance paid?,"It depends on what was agreed upon in the employment contract. For more information, please visit http://www.mom.gov.sg/employment-practices"
"My wife had an IVF procedure and was given hospitalization leave. Her employer refuses to recognize it and mentioned her absence will be treated as no-pay leave instead. This exclusion was not mentioned in her employment contract, does she have any legal","That is unlikely to be allowed under the Employment Act. However, it must be noted that the Act does not cover certain classes of people (e.g. persons employed in a managerial/executive position earning $4,500 or more a month)."
Company have ended the contact before expiry as l have tender my termination after serious argument that was asked to quit so can l claim the losses?,"This would depend on what is provided in your employment contract with the company, and how the incident occured."
"my employer did not pay me OT and I understand if I am an executive I am not protected but I am actually just a salesman selling computers. So am I able to claim the company? I work from 11am - 9pm with 2 breaks total 1.5 hours, and have to work alter",It depends on whether you fall under the protection of the Employment Act and the amount of income that you receive.
"I am a project manager in a startup. But now, they are telling the salary for this month will be delayed by 1-2 weeks. Isnt it illegal to pay salary later than 7th of each month? What action can I take if they dont pay me my salary by 7th? please help. th","It is a breach of contract not to pay you your salary on the contractual date. If you are covered by the Employment Act (i.e. your salary does not exceed S$4,500), then it would also be a regulatory offence. If they fail to pay you your salary, you can make a complaint to the MOM or you can commence a claim against your employer."
"Is there any protection for Whistleblowers in Singapore? Raised COI issues concerning some Management Staff. Company indicated that they do not want to pursue matter. 3 months later, company taking actions to terminate me by indicating that they no longer","There is no legislation explicitly providing protection for whistleblowers. However, where the company is attempting to terminate your employment, you may be able to appeal to the MOM for unfair dismissal: see http://www.mom.gov.sg/employment-practices/termination-of-employment/unfair-dismissal for more information."
company do not allow i claim my medical and claim is prolong term therefore not cover amd they make mistake to allow me claim for past 1 year plus. how come other staff who took same medication is cover?,The provision of medical claims may be because of the contract that you signed with your company. You should check on the terms of your employment contract.
A few of my friends work at a cafe and they've been laid off with only 15 days notice. The Cafe is closing down. What recourse do they have?,"If the Caf?? is closing down, then they are likely to have little recourse as the Caf?? may not have any real assets to repay them. This is on the assumption that the Caf?? is held and operated by a company (as opposed to a sole proprietor) as the shareholder/directors are unlikely to be liable in such a situation."
"I ws sacked frm a job, I hv filed claims, non payment of salary in lieu of notice, PHs wid labour court, Director is denying to pay after 2 inquiry sessions, nw d case hs been scheduled fr hearing, hw many hearings wil it take? I hv claimd abt 6k he hs co","The number of hearings depends on the complexity of the case and the specific issues raised. If the matter is straightforward, it can be resolved at a single formal hearing."
I believe I was wrongfully dismissed by my employer. Is it advsable to obtain a legal letter to inform them that I will be taking this case to MOM?,There is no specific need to obtain the legal letter before you take the case to MOM.
Can i take legal action against my employer who retrenched me saying that my position has become redundant due to an acquisition. But now i find that they wanted to retain an EP holder from the acquired organisation (due to personal favor) and hence retre,"It will be difficult for you to take action - if you have been validly retrenched, then the fact that they have decided to replace your position does not create a cause of action. However, you may want to approach MOM for assistance."
"As a contractor, my main con owes us est.28k job done 4 months ago, but refuse to pay and also refuse to answer phone calls and respond to our email.can i go for small claim for this amount. we have also issue a letter of demand but still no re","No. The Small Claim Tribunal can only hear claims of less than 20k and if your contract is an employment contract, the Small Claims Tribunal does not have the jurisdiction to hear claims regarding employment matters."
Where to seek advice on current potential unfair and bias treatment at work,"It depends on what you mean by ""current potential unfair and bias treatment at work"". For employment-related matters, you may approach Ministry of Manpower for advice."
"I'm working for security company. My company force me to work for six days, more than 12 hours each day. As I know the company got no rights to force us work ot involuntarily. Is it possible to sue the company for forcing us work against our will?","You cannot work more than 48 hours per week. Where an employee works 12 hour shifts, they should average 44 hours in a continuous 3-week period (unless you are not a shift worker and you have given your consent in writing for the special arrangement required). Furthermore, in a single month, overtime (OT) should not exceed 72 hours. The company is obliged to apply to the Ministry of Manpower for special permission to exceed 72 hours of OT a month. Please contact the Ministry of Manpower for further clarification."
i did not get my salary what can i do ?,You can commence a claim against your employer. You can also seek the assistance of MOM.
"I have not received CPF contributions from my employer since Dec'15, and salaries are never on time. They have cited reasons such as corporate account not being set up etc. What can i do?",Yes - they are statutorily obliged to make payment of your CPF contributions.
I am in a non-managerial position but my salary is above 4500. My employer hasn't paid my last month's salary. Is my case covered by MOM? what are my options?,You will be covered if you are not a manager or an executive.
Can my employer terminate my employment without any notice pay and without notice since I'm under probation?,"It depends on your contract, your salary and the amount of time you have worked for them. If the Employment Act applies, please refer to this website http://www.mom.gov.sg/employment-practices/termination-of-employment/termination-with-notice"
I signed an employment letter with a new employer but they rescinded the offer subsequently. Can I ask for compensation?,Yes - this would be limited to the notice period at best.
"If my employer's company fails, is the owner of the company still obligated to pay me what they owe me?","This depends on the contract of employment, but generally the answer is no."
How can I seek legal course to get ex-employer to pay the remaining reimbursement claims (incurred in the course of performing my duties) that are outstanding since the day I left the Company (it's been 11 months now),You can commence a claim in the State Courts for a breach of contract (on the assumption that they are contractually required to reimburse you).
"My boss at hawker has not paid me CPF since employment. I've no employment proof or payslip, what are my chances of recovery?",You should approach MOM for assistance. The absence of a payslip is not fatal.
"Hi, my employer is not paying salary to the middle management, is that any way we can pursue the matter? It has been 2 weeks due. Sadly we are not cover by the MOM because the salary package has exceeded the amount.","If you are not covered by MOM, then you would have to commence an action in the Courts."
I was fired abruptly a day after I appld to clear my leave. Thr ws no argmnt or miscndct that preceded the act. My super and HR are based overseas and hv refused to expln the act. I suspct ths ws dn on a whim and/or cold fin calc. I hv suffrd fin and rep,"Depending on whether you can within the Employment Act, you could consider filing a complaint with the MOM for unfair dismissal or suing them to such effect."
"If the redeployed job still provides for the same pay and benefits but is not to the liking of the worker, can the worker turn down the new position and expect retrenchment benefit?","You are generally bound by the agreement you reached with your employer, hence whether you can turn down the new position will depend on the exact agreement reached."
My employer engages in illegal manpower practices e.g phantom workers. Will I be offered whistleblower protection if I report him?,You may wish to contact the Ministry of Manpower at the link below for more information: http://www.mom.gov.sg/contact-us/Pages/report-to-us.aspx
non payment of pro rata 1 mth bonus & 9 mths over due sales commission.Can boss use excuses that due counter claims holding payment?,"If your boss uses a mere excuse, then he cannot do so. However, if there is some basis, then he may be able to withhold payment. This depends on the specific reason for his action. Further if you are covered by the Employment Act, (see http://www.mom.gov.sg/employment-practices/employment-rights-conditions/salary/Pages/default.aspx), then your boss' right to do so is limited."
"I fell in Aug 2013 and fractured my left kneecap while attending training. MOM claimed that as I was on my way home, I cannot claim that I was injured in the course of my work. I was retrenched by company in Dec 2013. Is there a way for me to seek medi","There are two options. First, under the Work Place Compensation regime, compensation is payable (regardless of fault) when an employee suffered an injury by an accident arising out of and in the course of employment. It is unclear from your question whether you fell while you were attending the training or while you were on your way home. However, under the Work Place Compensation regime, you will not be entitled to compensation if you suffered the injury while you were travelling to and fro between home and workplace (unless this is on the Company provided transport). Further, you must make this claim within 1 year of your accident. Second, if Work Place Compensation is not available (or if you choose not to rely on it), then you may have to elect to sue but it is unclear from your query whether you have any basis since it is not clear how you fell."
"How do I fight my case against a MNC bank for unfair treatement & wrong dismissal. They are not giving the reason for termination as they are not bound as per contract, MOM will not help as my salary is > than 4500 SGD, i'm not part of any wor",You may have to engage a lawyer and sue them in court.
"I have been terminated without cause by the company in early Jan after coming back from hospitalization leave which ends in 18 Dec. Is there a ground to fight for termination "" without just cause or excuse""?","This depends on the terms of your employment contract. However, if you have been terminated pursuant to the contractual notice clause, it may be difficult for you to successfully object since most employment contracts do not require ""just cause or excuse"" in order for the employer to terminate you by notice. However, if you have been summarily terminated, then you may have a case."
"Incorrect commissions was paid for 2013, and now in 2014. is there a legal case that can be taken up against the company? The employment contract does state that the commission payable is to the discretion of the company, does this mean i have no case?",The terms of payment are a matter of contract. This depends on the exact wording of the employment contract. The mere fact that the payment was incorrectly made in 2013 does not bar you from making a claim in 2014.
In desperate help: I was dismissed from work due to my pregnancy. I have secretly recorded the conversation between the company and I on the day they asked me to leave. This pc of evidence is crucial. Is it legal and admissable in court?,Yes.
Client dismisses me but agency says I need to pay one months salary to agency. Is this legal in employment law? I am under agency employment outsourced IT. Will legal fees end up higher than my salary.,"This is a matter of contract - you will need to look at the terms of your contract with the agency. Even if provided, such a term may potentially be void as a penalty."
"On share TRANSFER sheet said ""FULLY PAID"" but am paid by instalment x12 on a separate sheet. What are my right if I sign the TRANSFER sheet to him. Can I put ""BY 12 INSTALLMENT""? Then what is my right?","It would not be ideal for you to sign a document that does not reflect the true legal position. You can insert whatever qualifiers you choose, subject to agreement with the buyer. If you do sign the share transfer form on the basis that it is fully paid, then you may have difficulties in the future proving that you have not been paid."
employees entitle to earn bonus if employed in the company at the time of payment & without having submitted a notice of termination. Do employer seek employee to return bonus if paid on 25 mar & she tender on 26 mar?,"The employee's entitlement to bonus is a matter of contract. Depending on the specific terms of the bonus, the employer may be able to seek recovery."
"Could I know if my employment contract with my current employer is considered breached if I do not receive my last month's salary in full after the 7th day of this month? In this case, could I leave the company immediately without serving the notice p","The question of breach depends on the specific terms of your contract. If the contract provides for payment to be made on the 7th, then it would be a breach. The fact that your contract has been breached would entitle you to damages. Whether it allows you to terminate the agreement is a separate issue. If the notice period is one month, then you would effectively be able to set off the monies owed to you against the notice period in any event. But this is separate from a termination of the agreement."
"Can we be sued to bankruptcy if we formed a Limited Liability Partnership, but closed it down, with outstanding debts","The partners of a limited liability partnership are generally not liable for the debts of the LLP or the other partners. However, they would be liable for their own debts and liabilities. Hence, if the debts belong to the LLP, then the partners cannot be sued for them."
"Can I serve legal demand letter, writ of summon, etc followed by filing a bankruptcy on someone who owed more than $15k without IOU, only with records of smses and bank transfer proof?","You can do so. However, it is a question of fact as to whether this is sufficient for you to convince the Court that the defendant does owe you the monies. The IOU is not required."
"If an undischarged bankrupt leaves the country without permission from the OA, will he be prevented from leaving at the immigration checkpoint or will he only be apprehended upon his return?","Regardless of when the offender is convicted, upon conviction for failing to comply with section 131(1)(b) of the Bankruptcy Act, the offender will be liable for a fine not exceeding $10,000 or imprisonment for a term not exceeding 2 years or both."
Hi ! I am planning to self declare as bankruptcy.I am a sole proprietor. Does it make any difference to close my company before submission ? I also have a joint unsecure facility with the bank. How is it affecting the joint applicant ?,"It would not make a difference whether you close your sole proprietorship since you are directly liable for any losses. As for the joint facility, this depends on the terms of the facility. Generally, the joint applicant would be liable for all outstanding amounts but please look at your terms."
Can I (as guarantor) set statutory demand for bankruptcy aside when debtor is negotiating with creditor on repayment?,No.
"Must someone attend his bankruptcy order hearing if he do not intend to oppose the application from the Plaintiffs ? If he do not attend since there are no ground to oppose it, will it be an offend or it is alright?",There is no need to attend if you are not objecting although you may find it useful to attend as information will be provided to you as to what you will need to do as a bankrupt - there are various information/matters that you need to provide to the OA and that may constitute an offence if you fail to do so.
"in a bankruptcy petition, can the defendant successfully object to exorbitant interest rates charged (25-30% pa)?",You may be able to do so but this depends on who your creditor is and whether there are any offences committed (e.g. illegal money lending etc).
"In Singapore, if someone is declared bankcrupt, can he or she extend their PR?","A Permanent Resident status is permanent. However, his or her Re-Entry Permit may not be renewed if the bankruptcy status affects his or her ability to find employment."
"Prior to filing Bankruptcy, will it make sense to pay up outstanding instalments (2 months) to avoid a force-sell on my HDB by Bank?","Assuming that you will be unable to fully service the housing loan from the bank, it is likely that the bank would eventually apply to the court to order a sale of the HDB flat, even if you pay the instalments that are outstanding at the moment."
"A bankrupted family member got fined under the bankruptcy act for leaving singapore without permission of official assignee. What is the consequences if we are unable to pay the fine? Can a family member loan the sum of money to the bankrupt, with an IOU?","Failure to pay a fine under the Bankruptcy Act may result in imprisonment. A bankrupt is not allowed to obtain credit of $1,000 or more without revealing his bankruptcy status. However, he can get small personal loans and repay them."
"If I declare bankrupt, and my wife is waiting for her citizenship ceremony,to take her pink IC on hand.she already had a Singapore passport but she only got a temporary slip to prove that she has a Singapore IC. Will my declaration of bankrupt affect her","It is unlikely that your financial status would affect your wife's citizenship. Furthermore, from your description of the events, the citizenship ceremony would be a mere formality to your wife's citizenship rather than a necessary step. Therefore, your wife is already a Singaporean. However, if her application for citizenship had contained a false declaration of your financial status, it could affect her citizenship status."
my spouse is in credit card debts and cannot pay up. She is a Private Hire Grab driver and we set up a Partnership company with the only asset in the partnership being the car. Will creditors possess the car in this instance if she is made a bankrupt?,"It is unclear if you have formed a partnership or company (e.g. Private Limited). Assuming that it is a partnership, in general, partnership is not a separate legal entity and the car possess by a partnership generally belongs to the partners and thus, considered an asset of your spouse that is subject to claims from her creditors."
Is there any restriction for undischarged SPR to withdraw CPF after renounce Permanent Resident Status?,It is possible to withdraw your CPF in full if you are not a Singaporean citizen/PR and are about to leave or have left Singapore and West Malaysia permanently with no intention of returning to either country for employment or residence.
"If I am declared bankrupt, will I be forced to sell the joint HDB flat? How will my family be affected?","If you or any of the joint owners of the HDB flat are Singaporean citizens, you will not be required to sell the joint HDB flat under s 51(5) of the Housing and Development Act. However, this is subject to certain exceptions, such as where the mortgage payments on the house are still outstanding, or the Housing Development Board compulsorily acquires the property. See http://www.hdb.gov.sg/cs/infoweb/business/estate-agents--salespersons/selling-a-flat/bankruptcy-divorce-or-death-undone-page for more information."
I self declared and was adjudged bankrupt on 28/1/16 after I lost my job in Jul 15. Bank now want to take back the mortgage loan but I have been paying instalment on time without fail. Can the bank still force me out.,"This could depend on the terms of the mortgage loan. If your mortgage agreement provides for the Bank being able to call upon the security upon your bankruptcy, they may be able to do so."
"If my spouse is sued bankrupt, will we be forced to sell a jointly owned private property? If I contribute more to the payment of the property, when the property went into force sales, how would the sales proceeds be distributed?",This depends on the facts. It is possible that the OA may decide to sell your spouse's share of the property. The proceeds should be divided based on your interest in the property - you may have to prove to the Court's or OA's satisfaction your share of the property.
"Will ICA allow me to renounce by Singapore PR even if I am an un-discharged bankrupt? If yes, will CPF allow me to draw my CPF monies and to use CPF monies to pay off outstanding liabilities from bankruptcy and any balance from IRAS?","You will be allowed to do so. However, do bear in mind that you will be required to leave Singapore permanently."
My husband has incurred debt in China. Is the lawyer in China able to demand his legal wife to sell her property in Singapore to pay his debt?,"This is unlikely but depends on Chinese law, which we are unable to advise on."
"Is the insurance payout of life policy (if death/disability/illness) protected from creditor? If a bankrupt receives half of property as an estate when his parent pass away, will he be forced to sell his 50% share to pay creditor?","On the assumption that the insurance policy names a beneficiary, then the proceeds will belong to the beneficiary, and it will be protected from the insured's creditors. In your query, the bankrupt will have possession of the half. The OA will decide how to deal with the 50% share and it may not compel the bankrupt to sell the 50% share. Further, it is difficult, if not impossible, to sell a 50% share in any property as a matter of practical enforcement."
Bank is suing my husband Chapter 20 Section 64.Will there be any if he declare bankrupt before the other party act ? where can we get a bankruptcy attorney?,"It is not clear what you are asking. If you are asking whether there will be any benefit in your husband self-petitioning for bankruptcy, then this depends on the specific facts. However, there is generally no difference in treatment between bankrupts who were applied for bankruptcy themselves and those who are bankrupted by creditors. You may wish to approach the law society of Singapore for a list of lawyers."
I am a undischarged insolvent person for almost 3 years. 2 Money Lender Companies just put up claims against me for an amount which is so absorbadent. I would have thought they can only claim during a speculated period?,"You should refer to the OA for their guidance. If the debts pre-date your bankruptcy, and if they failed to file a proof of debt, then their claim may be barred."
